0.0000 0.0000 0.0000
0.0176 3.0809 3.9987
0.0353 6.1122 7.9258
0.0529 9.0461 11.7125
0.0706 11.8384 15.2951
0.0882 14.4505 18.6173
0.1058 16.8499 21.6320
0.1235 19.0117 24.3027
0.1411 20.9186 26.6039
0.1588 22.5614 28.5216
0.1764 23.9381 30.0526
0.1940 25.0537 31.2042
0.2117 25.9190 31.9923
0.2293 26.5497 32.4404
0.2470 26.9650 32.5781
0.2646 27.1867 32.4388
0.2822 27.2377 32.0588
0.2999 27.1416 31.4754
0.3175 26.9212 30.7256
0.3352 26.5981 29.8450
0.3528 26.1925 28.8671
0.3704 25.7222 27.8226
0.3881 25.2032 26.7387
0.4057 24.6491 25.6391
0.4234 24.0713 24.5442
0.4410 23.4795 23.4704
0.4586 22.8815 22.4312
0.4763 22.2833 21.4367
0.4939 21.6898 20.4943
0.5116 21.1048 19.6088
0.5292 20.5311 18.7831
0.5468 19.9706 18.0179
0.5645 19.4248 17.3127
0.5821 18.8946 16.6655
0.5998 18.3805 16.0735
0.6174 17.8826 15.5331
0.6350 17.4010 15.0404
0.6527 16.9352 14.5909
0.6703 16.4848 14.1800
0.6880 16.0493 13.8032
0.7056 15.6278 13.4561
0.7232 15.2199 13.1343
0.7409 14.8246 12.8340
0.7585 14.4412 12.5515
0.7762 14.0691 12.2835
0.7938 13.7077 12.0272
0.8114 13.3564 11.7801
0.8291 13.0149 11.5404
0.8467 12.6828 11.3063
0.8644 12.3599 11.0769
0.8820 12.0462 10.8514
0.8996 11.7416 10.6293
0.9173 11.4463 10.4105
0.9349 11.1605 10.1953
0.9526 10.8842 9.9839
0.9702 10.6176 9.7770
0.9878 10.3610 9.5750
1.0055 10.1145 9.3787
1.0231 9.8782 9.1886
1.0408 9.6521 9.0055
1.0584 9.4361 8.8299
1.0760 9.2302 8.6621
1.0937 9.0342 8.5026
1.1113 8.8477 8.3515
1.1290 8.6705 8.2089
1.1466 8.5022 8.0747
1.1642 8.3424 7.9487
1.1819 8.1907 7.8306
1.1995 8.0467 7.7200
1.2171 7.9099 7.6165
1.2348 7.7799 7.5196
1.2524 7.6564 7.4287
1.2701 7.5389 7.3433
1.2877 7.4272 7.2629
1.3053 7.3210 7.1869
1.3230 7.2200 7.1149
1.3406 7.1240 7.0463
1.3583 7.0329 6.9809
1.3759 6.9464 6.9182
1.3935 6.8645 6.8579
1.4112 6.7870 6.7997
1.4288 6.7138 6.7434
1.4465 6.6446 6.6887
1.4641 6.5793 6.6354
1.4817 6.5177 6.5833
1.4994 6.4593 6.5324
1.5170 6.4040 6.4824
1.5347 6.3512 6.4331
1.5523 6.3005 6.3845
1.5699 6.2516 6.3364
1.5876 6.2038 6.2886
1.6052 6.1568 6.2411
1.6229 6.1101 6.1935
1.6405 6.0633 6.1459
1.6581 6.0160 6.0981
1.6758 5.9679 6.0501
1.6934 5.9188 6.0017
1.7111 5.8686 5.9530
