0.0000 21.6339 20.6931
0.0187 21.5290 20.6147
0.0374 21.2181 20.3820
0.0561 20.7123 20.0019
0.0747 20.0296 19.4858
0.0934 19.1934 18.8483
0.1121 18.2311 18.1069
0.1308 17.1729 17.2808
0.1495 16.0499 16.3897
0.1682 14.8925 15.4534
0.1869 13.7290 14.4904
0.2056 12.5848 13.5178
0.2242 11.4812 12.5506
0.2429 10.4353 11.6015
0.2616 9.4595 10.6809
0.2803 8.5620 9.7969
0.2990 7.7471 8.9556
0.3177 7.0154 8.1613
0.3364 6.3650 7.4167
0.3550 5.7916 6.7235
0.3737 5.2896 6.0823
0.3924 4.8523 5.4929
0.4111 4.4726 4.9546
0.4298 4.1435 4.4664
0.4485 3.8582 4.0267
0.4672 3.6104 3.6339
0.4859 3.3943 3.2859
0.5045 3.2050 2.9807
0.5232 3.0380 2.7158
0.5419 2.8897 2.4888
0.5606 2.7569 2.2972
0.5793 2.6372 2.1382
0.5980 2.5283 2.0093
0.6167 2.4287 1.9077
0.6354 2.3370 1.8307
0.6540 2.2521 1.7757
0.6727 2.1734 1.7402
0.6914 2.1002 1.7217
0.7101 2.0323 1.7176
0.7288 1.9692 1.7257
0.7475 1.9109 1.7436
0.7662 1.8572 1.7691
0.7848 1.8079 1.7998
0.8035 1.7627 1.8337
0.8222 1.7214 1.8688
0.8409 1.6836 1.9029
0.8596 1.6489 1.9342
0.8783 1.6167 1.9610
0.8970 1.5864 1.9818
0.9157 1.5573 1.9954
0.9343 1.5288 2.0007
0.9530 1.5002 1.9971
0.9717 1.4710 1.9842
0.9904 1.4406 1.9619
1.0091 1.4088 1.9305
1.0278 1.3754 1.8908
1.0465 1.3403 1.8435
1.0651 1.3038 1.7898
1.0838 1.2662 1.7311
1.1025 1.2280 1.6687
1.1212 1.1899 1.6043
1.1399 1.1524 1.5393
1.1586 1.1164 1.4752
1.1773 1.0826 1.4134
1.1960 1.0517 1.3552
1.2146 1.0243 1.3016
1.2333 1.0008 1.2534
1.2520 0.9817 1.2112
1.2707 0.9672 1.1753
1.2894 0.9573 1.1458
1.3081 0.9518 1.1227
1.3268 0.9506 1.1054
1.3455 0.9533 1.0934
1.3641 0.9593 1.0860
1.3828 0.9681 1.0823
1.4015 0.9790 1.0813
1.4202 0.9913 1.0820
1.4389 1.0045 1.0833
1.4576 1.0178 1.0842
1.4763 1.0306 1.0838
1.4949 1.0425 1.0814
1.5136 1.0530 1.0762
1.5323 1.0617 1.0680
1.5510 1.0685 1.0564
1.5697 1.0733 1.0416
1.5884 1.0761 1.0237
1.6071 1.0771 1.0032
1.6258 1.0763 0.9806
1.6444 1.0742 0.9568
1.6631 1.0709 0.9324
1.6818 1.0668 0.9083
1.7005 1.0622 0.8852
1.7192 1.0574 0.8640
1.7379 1.0525 0.8450
1.7566 1.0476 0.8288
1.7752 1.0428 0.8156
1.7939 1.0380 0.8053
1.8126 1.0329 0.7977
1.8313 1.0275 0.7925
1.8500 1.0213 0.7892
1.8687 1.0141 0.7872
1.8874 1.0055 0.7857
1.9061 0.9953 0.7841
1.9247 0.9832 0.7819
1.9434 0.9690 0.7784
1.9621 0.9525 0.7732
1.9808 0.9339 0.7662
1.9995 0.9132 0.7572
2.0182 0.8906 0.7463
2.0369 0.8663 0.7337
2.0555 0.8407 0.7197
2.0742 0.8142 0.7048
2.0929 0.7872 0.6893
2.1116 0.7601 0.6738
2.1303 0.7334 0.6588
2.1490 0.7075 0.6447
2.1677 0.6829 0.6318
2.1864 0.6598 0.6205
2.2050 0.6385 0.6108
2.2237 0.6193 0.6030
2.2424 0.6024 0.5969
2.2611 0.5878 0.5924
2.2798 0.5755 0.5894
2.2985 0.5655 0.5876
2.3172 0.5577 0.5866
2.3359 0.5518 0.5862
2.3545 0.5477 0.5859
2.3732 0.5452 0.5855
2.3919 0.5440 0.5845
2.4106 0.5438 0.5828
2.4293 0.5444 0.5801
2.4480 0.5456 0.5763
2.4667 0.5473 0.5713
2.4853 0.5492 0.5651
2.5040 0.5513 0.5578
2.5227 0.5536 0.5495
2.5414 0.5560 0.5404
2.5601 0.5585 0.5307
2.5788 0.5612 0.5207
2.5975 0.5641 0.5106
2.6162 0.5672 0.5007
2.6348 0.5706 0.4913
2.6535 0.5742 0.4825
2.6722 0.5781 0.4746
2.6909 0.5822 0.4676
2.7096 0.5865 0.4619
2.7283 0.5907 0.4573
2.7470 0.5950 0.4541
2.7656 0.5991 0.4523
2.7843 0.6029 0.4518
2.8030 0.6063 0.4527
2.8217 0.6093 0.4551
2.8404 0.6116 0.4588
2.8591 0.6133 0.4639
2.8778 0.6143 0.4703
2.8965 0.6146 0.4779
2.9151 0.6142 0.4867
2.9338 0.6131 0.4964
2.9525 0.6113 0.5071
2.9712 0.6090 0.5184
2.9899 0.6062 0.5301
3.0086 0.6029 0.5421
3.0273 0.5992 0.5541
3.0459 0.5953 0.5658
3.0646 0.5912 0.5770
3.0833 0.5869 0.5874
3.1020 0.5826 0.5968
3.1207 0.5783 0.6050
3.1394 0.5741 0.6118
3.1581 0.5699 0.6171
3.1768 0.5660 0.6208
3.1954 0.5623 0.6230
3.2141 0.5589 0.6235
3.2328 0.5558 0.6226
3.2515 0.5531 0.6202
3.2702 0.5508 0.6165
3.2889 0.5490 0.6116
3.3076 0.5477 0.6058
3.3263 0.5469 0.5992
3.3449 0.5465 0.5920
3.3636 0.5465 0.5844
3.3823 0.5469 0.5766
3.4010 0.5476 0.5688
3.4197 0.5486 0.5611
3.4384 0.5496 0.5538
3.4571 0.5506 0.5470
